year_month;cloud_provider;account_id;environment;total_list_cost;total_net_cost;total_on_demand_cost;total_amortized_cost;total_forecast_monthly_cost;total_budget_amount;avg_budget_utilization_pct;avg_cost_variance_7d_pct;avg_cost_variance_30d_pct;anomaly_count;row_count
2023-01;Azure;acct-006;staging;2.589.597;2.053.366;1.033.589;1.781.346;5.751.948;673672.3;0.0008500000000000001;0.07558181818181818;-0.00037954545454545185;0;44
2023-01;Azure;acct-007;dev;533.832;417.158;310.864;369.434;1.367.954;206261.34;0.000684;0.028908;0.0033079999999999954;0;25
2023-01;Azure;acct-007;prod;1.180.033;9.233.871;344.019;8.033.651;30.190.877;5258162.95;0.0005786407766990292;0.08454466019417475;0.027250485436893204;0;103
2023-01;Azure;acct-007;staging;2.469.539;1.914.398;976.905;1.642.624;8.071.536;621077.35;0.0013700000000000001;0.10017000000000001;0.013497499999999999;0;40
2023-01;Azure;acct-008;dev;654.678;51.442;386.766;484.751;23.921.269.999.999.900;162514.18;0.0015300000000000001;0.09153;0.0070750000000000006;0;20
2023-01;Azure;acct-008;prod;9.984.977;7.900.961;3.319.707;6.930.031;27.675.877;4417930.01;0.0006372093023255814;0.030575581395348835;0.06883488372093023;0;86
2023-01;Azure;acct-008;staging;2.034.655;1.569.068;755.134;1.372.065;5.097.056;612329.25;0.0008399999999999999;0.046455;0.013919999999999998;0;40
2023-01;Azure;acct-009;dev;484.127;390.259;281.333;353.159;1.112.755;133237.2;0.00088125;0.03168125;0.05655;0;16
2023-01;Azure;acct-009;prod;9.989.162;7.733.242;2.701.702;6.639.951;28.358.665;4652994.47;0.0006032967032967032;0.07775714285714286;0.08346593406593407;0;91
2023-01;Azure;acct-009;staging;174.487;135.213;655.328;1.145.827;9.202.615;428372.84;0.002175862068965517;-0.006662068965517239;0.02633103448275862;0;29
2023-01;Azure;acct-010;dev;909.524;7.208.070.000.000.000;513.268;672.002;446.362;20.527.538.999.999.900;0.002208;0.06762800000000001;-0.0024;0;25
2023-01;Azure;acct-010;prod;8.663.796;6.585.272;24.160.819.999.999.900;5.724.336;26.061.349;4658111.97;0.0005692307692307692;0.04804615384615385;0.019909890109890114;0;91
2023-01;Azure;acct-010;staging;2.375.772;1.854.203;1.030.595;164.437;800.217;693352.76;0.001191111111111111;0.05913111111111112;0.024677777777777778;0;45
2023-01;GCP;acct-001;dev;8.105.799.999.999.990;62.676;506.763;580.422;140.265;193047.79;0.0007304347826086956;0.06592608695652173;0.019052173913043476;0;23
2023-01;GCP;acct-001;prod;9.644.916;7.500.542;2.650.734;6.455.124;3099.65;5147221.54;0.0006140000000000001;0.077983;0.0707;0;100
2023-01;GCP;acct-001;staging;2.029.403;1.556.232;937.263;139.431;5.646.496;553163.11;0.0009944444444444445;0.039636111111111115;-0.02560833333333333;0;36
2023-01;GCP;acct-002;dev;85.921;68.868;514.106;6.534.479.999.999.990;2.390.257;216715.8;0.001096153846153846;0.12948076923076923;0.013034615384615388;0;26
2023-01;GCP;acct-002;prod;7.255.303;5.678.237;2.087.752;4.899.064;27.691.406;3776590.55;0.0007513513513513513;0.018986486486486487;0.05494054054054054;0;74
2023-01;GCP;acct-002;staging;1.849.996;143.479;837.253;1.296.885;527.058;566659.99;0.000927027027027027;0.035140540540540534;0.05084594594594595;0;37
2023-01;GCP;acct-003;dev;65.6;516.331;38.462;48.860.800.000.000.000;1.580.668;189051.97;0.0008434782608695653;0.09854782608695652;0.09241304347826086;0;23
2023-01;GCP;acct-003;prod;11.066.384;8.870.613;3.162.878;7.655.047;33.960.038;5490755.12;0.000618867924528302;0.06690094339622642;0.07340188679245284;0;106
2023-01;GCP;acct-003;staging;1.624.634;1.266.923;573.539;1.094.964;4.685.245;504257.4;0.0009323529411764705;0.06931470588235294;0.1078735294117647;0;34
2023-01;GCP;acct-004;dev;685.284;53.583.200.000.000.000;405.524;489.116;1.490.244;174629.16;0.0008363636363636364;0.07548181818181819;0.009454545454545453;0;22
2023-01;GCP;acct-004;prod;8.750.509;6.627.173;2.087.505;5.569.018;31.600.592;4814247.3;0.0006580645161290323;0.04982258064516129;0.04077204301075269;0;93
2023-01;GCP;acct-004;staging;2.112.342;1.636.341;828.654;1.406.471;5.843.384;656626.69;0.0008906976744186047;0.04641860465116279;0.024555813953488374;0;43
2023-01;GCP;acct-005;dev;583.515;458.348;346.221;418.768;1.529.235;172379.98;0.0009047619047619047;0.07442857142857143;-0.01560476190476191;0;21
2023-01;GCP;acct-005;prod;9.042.523;7.050.563.999.999.990;2.261.663;6.008.035;26.357.975;4578830.88;0.0005876404494382022;0.03153595505617978;0.09964719101123597;0;89
2023-01;GCP;acct-005;staging;2.202.312;1.684.921;831.443;1.454.347;5.524.967;625487.84;0.0008829268292682926;0.05919268292682926;0.08237804878048781;0;41
2023-01;GCP;acct-006;dev;571.049;442.453;322.128;402.911;2.551.154;162621.88;0.0015699999999999998;-0.0076100000000000004;0.090815;0;20
2023-01;GCP;acct-006;prod;10.376.836;8.109.404;2.883.703;6.957.612;29.986.984;5475260.68;0.000549056603773585;0.03582830188679245;0.0268688679245283;0;106
2023-01;GCP;acct-006;staging;2.406.126;1.865.899;979.063;1.604.776;7.790.166;705284.33;0.0010755555555555555;0.056397777777777776;0.02574;0;45
2023-01;GCP;acct-007;dev;533.957;409.478;304.151;372.786;2.198.075;144980.01;0.0014611111111111112;0.02667777777777778;-0.008;0;18
2023-01;GCP;acct-007;prod;947.325;708.15;250.666;6.093.081;32.973.947;4388155.14;0.0007954022988505747;0.09150919540229886;0.04396206896551724;0;87
2023-01;GCP;acct-007;staging;133.536;1.069.643;576.731;955.339;7.606.833;499065.57;0.00153125;0.03547187499999999;0.04404375;0;32
2023-01;GCP;acct-008;dev;574.659;412.871;304.952;365.296;1.185.604;160083.82;0.000735;0.060405;-0.051660000000000005;0;20
2023-01;GCP;acct-008;prod;8.032.094;638.423;2.307.332;5.504.009;27.706.403;4046316.9;0.0007050632911392405;0.004310126582278482;0.07221772151898734;0;79
2023-01;GCP;acct-008;staging;2.935.748;2.292.009;1.313.844;2.001.487;14.329.533.999.999.900;839716.1;0.0017;0.06871636363636363;0.014761818181818183;0;55
2023-01;GCP;acct-009;dev;858.867;658.371;509.425;622.344;1.630.119;195127.25;0.0008250000000000001;0.023570833333333333;-0.0018916666666666674;0;24
2023-01;GCP;acct-009;prod;10.311.406;7.930.765;2.951.254;6.845.208;4014.07;5238910.16;0.0007893203883495146;0.0466126213592233;0.05751747572815534;0;103
2023-01;GCP;acct-009;staging;224.039;1.742.287;984.434;1.526.573;7.971.843;587209.33;0.0012947368421052632;0.04038684210526316;-0.004563157894736842;0;38
2023-01;GCP;acct-010;dev;656.044;507.768;375.043;439.819;1.603.042;19.029.277.000.000.000;0.0008217391304347826;0.039291304347826086;0.043321739130434786;0;23
2023-01;GCP;acct-010;prod;10.368.101;8.110.986;2.977.213;7.047.921;20.461.721;5045278.75;0.00040612244897959187;0.03863469387755102;0.08834795918367346;0;98
2023-01;GCP;acct-010;staging;2.147.473;159.765;869.858;1.397.983;8.791.711;604718.3;0.0014435897435897437;0.025235897435897433;0.00927179487179487;0;39
2023-02;AWS;acct-001;dev;1.211.358;950.809;693.583;864.177;25.892.040.000.000.000;253155.26;0.001032258064516129;0.04944516129032258;0.04071290322580645;0;31
2023-02;AWS;acct-001;prod;11.271.942;8.877.045;3.177.824;7.632.341;33.465.135;4853946.02;0.0006861702127659575;0.06041595744680851;0.03943936170212766;0;94
2023-02;AWS;acct-001;staging;191.213;152.482;711.691;1.300.078;5.359.162;503278.15;0.001071875;0.07303125;0.044496875;0;32
2023-02;AWS;acct-002;dev;899.252;729.723;570.662;667.442;3.480.775;184848.03;0.0018363636363636362;0.07762727272727273;0.19858636363636364;0;22
2023-02;AWS;acct-002;prod;11.563.863.000.000.000;9.155.225;3.158.515;7.943.109;34.218.633;4639312.79;0.0007483146067415731;0.04496516853932584;0.041195505617977524;0;89
2023-02;AWS;acct-002;staging;265.096;21.044.480.000.000.000;109.481;1.771.216;5.630.184;590774.12;0.0009461538461538462;0.05604615384615384;0.044651282051282055;0;39
2023-02;AWS;acct-003;dev;646.043;492.037;356.593;458.442;1.469.769;145996.49;0.0010222222222222221;0.0633;0.21450555555555556;0;18
2023-02;AWS;acct-003;prod;10.843.218;8.515.067;3.086.063;7.495.184;30.910.811.000.000.000;4226711.59;0.0007271604938271605;0.05820740740740741;0.05421851851851852;0;81
2023-02;AWS;acct-003;staging;1.931.688;1.528.682;707.574;1.323.829;9.158.973;491086.42;0.001840625;0.065984375;0.10567499999999999;0;32
2023-02;AWS;acct-004;dev;781.742;616.826;511.525;571.087;2.259.377;177062.08;0.0012772727272727274;0.041740909090909085;0.10816818181818183;0;22
2023-02;AWS;acct-004;prod;8.694.350.000.000.000;6.609.671;277.831;5.805.645;28.992.951;3895111.86;0.0007337662337662338;0.025657142857142858;0.13483896103896104;0;77
2023-02;AWS;acct-004;staging;2.786.966;2.118.974;1.235.727;1.836.624;6.119.491;728358.88;0.0008574468085106383;0.07149148936170213;0.04044468085106383;0;47
2023-02;AWS;acct-005;dev;8.419.669.999.999.990;665.705;46.669;60.952.799.999.999.900;307.416;228514.4;0.001432142857142857;0.17840714285714285;0.11601071428571429;0;28
2023-02;AWS;acct-005;prod;957.406;7.518.884;2.868.992;6.480.861;3.373.883;3603472.31;0.0009714285714285715;0.04656;0.019452857142857143;0;70
2023-02;AWS;acct-005;staging;2.596.744;2.052.957;966.863;1.797.271;7.496.137;687582.2;0.0010727272727272727;0.031922727272727276;0.06066590909090908;0;44
2023-02;AWS;acct-006;dev;101.297;8.078.659.999.999.990;612.663;745.934;41.070.169.999.999.900;205811.53;0.001988;0.090076;0.04846;0;25
2023-02;AWS;acct-006;prod;8.952.631;7.034.642;2.295.242;5.956.275;20.246.386;3597632.5;0.0005840579710144927;0.0751391304347826;0.07063043478260869;0;69
2023-02;AWS;acct-006;staging;2.282.201;1.767.699;990.567;1.479.281;7.154.984;526321.68;0.0014058823529411765;0.050738235294117646;0.04434117647058824;0;34
2023-02;AWS;acct-007;dev;958.868;716.528;548.589;644.425;3.950.442;198558.68;0.0020708333333333334;0.0008458333333333333;-0.007837499999999999;0;24
2023-02;AWS;acct-007;prod;10.466.798;8.010.711;3.061.932;6.893.141;29.469.832;4065292.27;0.0007250000000000001;0.02392625;0.0732375;0;80
2023-02;AWS;acct-007;staging;2.436.128;19.396.439.999.999.900;1.235.236;1.729.071;7.364.931;613862.45;0.0012390243902439023;0.03853170731707317;0.1333609756097561;0;41
2023-02;AWS;acct-008;dev;705.541;538.746;394.889;48.641;2.787.176;169854.95;0.0016476190476190475;0.06754761904761904;0.06257619047619048;0;21
2023-02;AWS;acct-008;prod;9.753.959;7.560.161;27.333.050.000.000.000;6.505.627;28.111.918;4084634.67;0.0007012499999999999;0.03219125;0.0440175;0;80
2023-02;AWS;acct-008;staging;255.524;1.932.458;1.045.735;1.709.312;8.674.421;627051.47;0.0014121951219512195;0.039926829268292684;0.06492439024390244;0;41
2023-02;AWS;acct-009;dev;705.432;56.856.300.000.000.000;427.104;510.877;28.199.379.999.999.900;161745.39;0.001685;0.083995;0.17257499999999998;0;20
2023-02;AWS;acct-009;prod;10.215.196;7.785.146;2.488.462;6.601.189;2.635.901;4232827.46;0.0006156626506024096;0.034036144578313256;0.011715662650602409;0;83
2023-02;AWS;acct-009;staging;1.780.168;1.458.207;818.934;1.246.644;719.692;43.913.227.999.999.900;0.001689655172413793;0.06105862068965517;0.014051724137931033;0;29
2023-02;AWS;acct-010;dev;538.887;446.934;338.769;42.216.899.999.999.900;377.177;108643.17;0.0034923076923076926;0.1154923076923077;0.08347692307692307;0;13
2023-02;AWS;acct-010;prod;9.282.457;7.147.778;2.551.786;6.120.565;28.852.235;3932323.73;0.00075;0.08372368421052633;0.10386973684210526;0;76
2023-02;AWS;acct-010;staging;3.055.042;2.421.294;1.454.256;2.076.711;8.440.894.000.000.000;671887.8;0.001265909090909091;0.06175454545454546;0.07374318181818182;0;44
2023-02;Azure;acct-001;dev;707.145;540.361;414.592;503.951;2.975.172;162982.85;0.0017950000000000002;0.055349999999999996;0.15223;0;20
2023-02;Azure;acct-001;prod;10.227.334;7.938.312.999.999.990;3.092.715;693.823;30.702.631;4696874.35;0.0006714285714285714;0.04300769230769231;0.029585714285714288;0;91
2023-02;Azure;acct-001;staging;1.613.233;1.311.724;741.128;1.169.096;3.690.383;474068.47;0.0007483870967741935;0.024367741935483866;0.05063225806451613;0;31
2023-02;Azure;acct-002;dev;875.134;68.257;510.394;645.104;2.217.957;185848.37;0.0012;-0.009509090909090906;0.0218;0;22
2023-02;Azure;acct-002;prod;9.296.166.000.000.000;7.186.545;2.798.987;6.269.503;30.067.831;4054775.02;0.00075;0.014578749999999998;0.04190375;0;80
2023-02;Azure;acct-002;staging;19.364.339.999.999.900;1.529.244;776.952;1.364.778;4.508.775;521746.87;0.000877142857142857;0.009454285714285714;0.11098857142857144;0;35
2023-02;Azure;acct-003;dev;41.664;308.184;234.916;282.062;1.366.669;93635.14;0.0014333333333333333;0.09446666666666668;0.09898333333333333;0;12
2023-02;Azure;acct-003;prod;10.025.988;7.639.721;2.788.498;6.604.278;28.042.475.999.999.900;4610197.06;0.00060561797752809;0.06846404494382023;0.06514044943820226;0;89
2023-02;Azure;acct-003;staging;2.613.644;1.996.771;1.172.641;1.753.999;6.917.569;526490.33;0.0013599999999999999;0.09437714285714285;0.07349142857142857;0;35
2023-02;Azure;acct-004;dev;672.074;521.028;374.813;48.473.600.000.000.000;21.826.069.999.999.900;145069.74;0.0014777777777777777;0.02677222222222222;0.03593333333333333;0;18
2023-02;Azure;acct-004;prod;8.622.113;6.658.478;2.465.794;575.63;2.907.339;4005103.0;0.0007607594936708861;0.05641139240506329;0.024992405063291142;0;79
2023-02;Azure;acct-004;staging;1.880.492;1.399.105;757.203;12.612.950.000.000.000;8.711.997;560096.07;0.0014783783783783784;0.09073513513513513;0.002521621621621624;0;37
2023-02;Azure;acct-005;dev;716.975;534.305;408.614;499.534;2.891.758;147087.13;0.001922222222222222;0.05676666666666667;0.04215000000000001;0;18
2023-02;Azure;acct-005;prod;9.331.086;7.066.867;246.899;6.101.552;32.733.077;3800367.81;0.0008653333333333333;0.04244933333333333;0.020052000000000004;0;75
2023-02;Azure;acct-005;staging;208.103;1.665.549;865.437;1.420.671;4.022.622;492466.0;0.00085625;0.063209375;0.12450625;0;32
2023-02;Azure;acct-006;dev;645.099;50.446.200.000.000.000;39.957.300.000.000.000;473.913;14.845.420.000.000.000;152828.34;0.001;0.012621052631578946;0.048231578947368424;0;19
2023-02;Azure;acct-006;prod;9.440.148;7.597.572;2.719.241;6.520.054;26.990.113;4301125.74;0.0006204819277108435;0.059414457831325304;0.01797831325301205;0;83
2023-02;Azure;acct-006;staging;2.091.103;159.696;890.388;1.395.275;6.158.368;550345.67;0.0011277777777777777;0.02145277777777778;-0.004619444444444442;0;36
2023-02;Azure;acct-007;dev;43.639;331.457;249.429;312.122;1.022.445;111263.23;0.0009714285714285715;0.07476428571428571;0.16302857142857144;0;14
2023-02;Azure;acct-007;prod;9.745.322;7.354.429;2.495.024;6.328.211;26.434.599;4420733.12;0.0005793103448275862;0.06226551724137932;0.06779310344827585;0;87
2023-02;Azure;acct-007;staging;2.214.494;175.763;102.969;15.976.670.000.000.000;8.211.265;528739.52;0.001514705882352941;0.04192058823529412;0.09378823529411764;0;34
2023-02;Azure;acct-008;dev;711.091;578.023;417.215;53.801.300.000.000.000;1.445.657;18.010.711.000.000.000;0.000809090909090909;0.017104545454545456;0.06807272727272727;0;22
2023-02;Azure;acct-008;prod;10.782.014;8.315.896;2.915.454;7.182.736;30.285.324;4662174.21;0.000645054945054945;0.05875494505494506;0.07209670329670329;0;91
2023-02;Azure;acct-008;staging;27.423.220.000.000.000;211.297;1.056.878;1.861.752;10.923.694;600886.34;0.0018256410256410256;0.013779487179487182;0.025682051282051283;0;39
2023-02;Azure;acct-009;dev;900.338;718.636;561.474;665.844;5.375.657;186243.25;0.0029173913043478257;0.021952173913043473;0.014639130434782606;0;23
2023-02;Azure;acct-009;prod;10.971.439;8.631.622;27.989.979.999.999.900;7.323.363;26.421.686;4881642.61;0.0005395833333333333;0.05232083333333334;0.02822604166666667;0;96
2023-02;Azure;acct-009;staging;184.455;1.515.594;799.737;1.337.984;5.054.852;487485.6;0.00104375;0.0748375;0.06458124999999999;0;32
2023-02;Azure;acct-010;dev;877.627;682.122;523.114;630.026;3.667.216;255491.79;0.00139;0.07217333333333334;0.08320666666666666;0;30
2023-02;Azure;acct-010;prod;9.414.383;7.150.227;2.892.236;6.271.387;25.085.243;3940650.68;0.0006324675324675325;0.015433766233766235;0.02156103896103896;0;77
2023-02;Azure;acct-010;staging;2.197.063;1.687.122;837.183;1.494.124;4.599.144;618721.13;0.0007675;0.0740375;0.047935;0;40
2023-02;GCP;acct-001;dev;704.697;539.699;417.366;512.954;2.551.422;171478.17;0.0015523809523809522;0.040076190476190474;0.019476190476190473;0;21
2023-02;GCP;acct-001;prod;6.316.379.000.000.000;4.778.846;1.538.093;4.105.319;16.040.406;3431283.46;0.0004661538461538462;0.07753692307692309;0.007353846153846155;0;65
2023-02;GCP;acct-001;staging;2.053.898;1.613.252;86.694;1.400.528;6.394.925;534046.85;0.0012314285714285715;0.08906;0.039785714285714285;0;35
2023-02;GCP;acct-002;dev;878.801;664.746;506.445;620.435;1.501.255;201973.29;0.0007375;0.014900000000000002;0.093875;0;24
2023-02;GCP;acct-002;prod;7.447.155;5.686.831.999.999.990;2.159.878;4.921.243;26.929.078.999.999.900;3652689.66;0.0007492957746478873;0.06461549295774648;0.009302816901408448;0;71
2023-02;GCP;acct-002;staging;2.168.174;164.056;924.845;1.451.702;6.059.728;566966.36;0.0010736842105263157;0.0722578947368421;0.019971052631578945;0;38
2023-02;GCP;acct-003;dev;931.116;6.997.540.000.000.000;539.827;6.525.880.000.000.000;3.115.967;249711.13;0.0012033333333333334;0.02735;0.023;0;30
2023-02;GCP;acct-003;prod;10.396.356;8.046.985;2.863.411;6.969.041;31.725.669;4685283.81;0.0006804347826086957;0.05096630434782609;0.032247826086956526;0;92
2023-02;GCP;acct-003;staging;20.004.489.999.999.900;1.508.589;777.549;1.331.005;3.052.268;490751.41;0.000632258064516129;0.028074193548387097;0.12716451612903226;0;31
2023-02;GCP;acct-004;dev;904.816;709.391;501.025;638.147;230.825;204038.9;0.0011333333333333332;0.061875000000000006;-0.03265833333333334;0;24
2023-02;GCP;acct-004;prod;8.640.792;6.463.457;2.735.179;5.696.081;20.704.965;4105635.94;0.000520253164556962;0.06920632911392405;0.09101518987341772;0;79
2023-02;GCP;acct-004;staging;1.903.331;1.524.034;917.987;1.336.141;7.266.293.000.000.000;581914.37;0.0011972972972972972;0.06993783783783783;0.061881081081081084;0;37
2023-02;GCP;acct-005;dev;725.685;550.841;414.104;496.452;2.534.654;173059.2;0.00139;0.141185;0.065865;0;20
2023-02;GCP;acct-005;prod;10.402.723;7.864.602;290.535;6.778.423;32.688.328;4808286.86;0.000683695652173913;0.04510760869565218;0.0479445652173913;0;92
2023-02;GCP;acct-005;staging;2.246.235;1.708.596;966.173;1.521.799;6.440.561;638515.88;0.0009926829268292682;0.016556097560975612;0.09810487804878047;0;41
2023-02;GCP;acct-006;dev;777.581;591.838;453.305;560.573;13.098.760.000.000.000;199853.17;0.00065;0.03934166666666667;0.03452083333333333;0;24
2023-02;GCP;acct-006;prod;10.147.288;7.918.504;3.062.287;6.914.768;36.258.748;4867493.95;0.0007822916666666667;0.054337500000000004;0.046125;0;96
2023-02;GCP;acct-006;staging;195.482;1.536.191;881.567;1.351.775;4.948.826;532268.08;0.0009294117647058825;0.0937529411764706;0.09845000000000001;0;34
